SpeciesName,ScientificName,Count,Date,Observer,Location
Beach Thick-knee,Esacus magnirostris,2,23 May 2024,Ram Vikas,"Andaman and Nicobar Islands, IN (11.595, 92.545) Tarmugli Island South Andaman Andaman and Nicobar Islands"
European Roller,Coracias garrulus,4,23 May 2024,Mehreen Khaleel,"NingleGull (34.285, 74.51) Baramulla Jammu and Kashmir"
Painted Bush-Quail,Perdicula erythrorhyncha,14,23 May 2024,Fayis T,"Wildvibes Ooty The Nilgiris Tamil Nadu"
Indian Yellow Tit,Machlolophus aplonotus,10,23 May 2024,Dr Sudhir Jain,"Dumna Nature Reserve Park Jabalpur Madhya Pradesh"
Chestnut-bellied Nuthatch,Sitta cinnamoventris,12,23 May 2024,Tanmay Kadle,"Pangot Nainital Uttarakhand"
Eurasian Woodcock,Scolopax rusticola,2,22 May 2024,Ramnarayan Kalyanaraman,"Askot Wildlife Sanctuary (OBI) Pithoragarh Uttarakhand"
Aberrant Bush Warbler,Horornis flavolivaceus,6,22 May 2024,Ramnarayan Kalyanaraman,"Askot Wildlife Sanctuary (OBI) Pithoragarh Uttarakhand"
Gray-crested Tit,Lophophanes dichrous,15,22 May 2024,Ramnarayan Kalyanaraman,"Askot Wildlife Sanctuary (OBI) Pithoragarh Uttarakhand"
Gray-sided Bush Warbler,Cettia brunnifrons,5,22 May 2024,Ramnarayan Kalyanaraman,"Askot Wildlife Sanctuary (OBI) Pithoragarh Uttarakhand"
Spot-bellied Eagle-Owl,Ketupa nipalensis,2,22 May 2024,Gopi Raji,"Kottachedu, Yercaud கொட்டச்சேடு, ஏற்காடு Salem Tamil Nadu"
Pied Wheatear,Oenanthe pleschanka,4,22 May 2024,Rajesh Panwar,"Nako village Kinnaur Himachal Pradesh"
Himalayan Owl,Strix nivicolum,2,21 May 2024,Micah Rai,"Eaglenest WLS & Surroundings--Chaku West Kameng Arunachal Pradesh"
Brown Wood-Owl,Strix leptogrammica,4,21 May 2024,Tanmay Kadle,"Pangot Nainital Uttarakhand"
Himalayan Shortwing,Brachypteryx cruralis,4,21 May 2024,Dipankar Subba,"Singalila NP--Lamey Dhura Darjeeling West Bengal"
Cinnamon Bittern,Ixobrychus cinnamomeus,7,21 May 2024,JENNY JOHNY SOLOMAN SAMUEL,"Timbi, Gujarat, IN (22.311, 73.278) Vadodara Gujarat"
Common Cuckoo,Cuculus canorus,10,21 May 2024,Waseem Bhat,"chadoora-pampora Road, Magrapora (33.962, 74.86) Budgam Jammu and Kashmir"
